country,cases,deaths,recovered,recovery_rate
Croatia,1309728,18687,1258432,96.08346160424149
Cuba,1115251,8530,1106660,99.22968013478581
Curaçao,45986,295,44720,97.2469882138042
Cyprus,681110,1365,679745,99.79959184272731
Czechia,4759041,43517,4715206,99.07891106632619
Côte d'Ivoire,88384,835,87497,98.99642469225199
DRC,99338,1468,84489,85.05204453482051
Denmark,3183756,8814,3174942,99.7231571766178
Diamond Princess,712,13,699,98.17415730337079
Djibouti,15690,189,15427,98.32377310388782
Dominica,16038,74,15964,99.53859583489213
Dominican Republic,675890,4384,671316,99.3232626610839
Ecuador,1070188,36043,1034145,96.63208707255174
Egypt,516023,24613,442182,85.69036651467086
El Salvador,201855,4230,179410,88.88063213692998
Equatorial Guinea,17229,183,16907,98.1310580997156
Eritrea,10189,103,10086,98.98910589851802
Estonia,628070,3001,0,0.0
Ethiopia,501157,7574,488171,97.40879604594967
Falkland Islands (Malvinas),1930,0,1930,100.0
Faroe Islands,34658,28,0,0.0
Fiji,69117,885,67226,97.26405949332292
Finland,1516117,11958,1503989,99.20006173666016
France,40138560,167642,39970918,99.58234176811524
French Guiana,98041,420,11254,11.478871084546261
French Polynesia,79254,650,0,0.0
Gabon,49051,307,48674,99.2314122036248
Gambia,12626,372,12189,96.53888800887059
Georgia,1861665,17132,0,0.0
Germany,38828995,183027,38240600,98.4846504525806
Ghana,171889,1462,170425,99.14828755766803
Gibraltar,20550,113,0,0.0
Greece,6101379,37869,0,0.0
Greenland,11971,21,2761,23.06407150613984
Grenada,19693,238,19358,98.29888792972122
Guadeloupe,203235,1021,0,0.0
Guatemala,1291293,20289,1269891,98.34259149550103
Guinea,38572,468,37757,97.8870683397283
Guinea-Bissau,9614,177,8929,92.87497399625546
Guyana,74137,1300,72013,97.13503378879642
Haiti,34667,860,33734,97.30867972423341
Holy See (Vatican City State),29,0,29,100.0
Honduras,474590,11165,0,0.0
Hong Kong,2937609,14924,2916005,99.2645719699252
Hungary,2230232,49048,2152155,96.49915345130013
Iceland,209906,229,0,0.0
India,45035393,533570,0,0.0
Indonesia,6829221,162063,6647104,97.33326831859739
Iran,7627186,146811,0,0.0
Iraq,2465545,25375,2439497,98.9435195869473
Ireland,1734582,9491,1724921,99.44303584379406
Isle of Man,38008,116,0,0.0
Israel,4841772,12707,4798473,99.10571997194415
Italy,26723249,196487,26361218,98.64525829175936
Jamaica,156869,3756,0,0.0
Japan,33803572,74694,0,0.0
Jordan,1746997,14122,1731007,99.08471508537221
Kazakhstan,1411831,13848,1383020,97.95931666042182
Kenya,344130,5689,337309,98.01790021212913
Kiribati,5085,24,2703,53.15634218289086
Kuwait,667158,2570,0,0.0
Kyrgyzstan,206897,2991,196406,94.92936098638452
Lao People's Democratic Republic,218970,758,0,0.0
Latvia,982505,6715,971406,98.87033653772754
Lebanon,1243838,10952,1087587,87.4379943368831
Lesotho,36138,723,25980,71.89108417732028
Liberia,8090,295,7783,96.20519159456119
Libyan Arab Jamahiriya,507274,6437,500835,98.73066626714557
Liechtenstein,21574,94,0,0.0
Lithuania,1397806,9897,1387478,99.26112779598886
Luxembourg,391232,1232,0,0.0
MS Zaandam,9,2,7,77.77777777777779
Macao,27673,123,3487,12.600729953384166
Macedonia,350567,9976,337068,96.14938086014942
Madagascar,68486,1426,66862,97.62871243757849
Malawi,89535,2686,0,0.0
Malaysia,5278406,37348,5233268,99.14485547341376
Maldives,186694,316,163687,87.67662592263275
Mali,33164,743,32332,97.49125557833796
Malta,121420,885,120149,98.95322022731017
Marshall Islands,16138,17,16121,99.89465856983517
Martinique,230354,1102,0,0.0
Mauritania,63848,997,62471,97.84331537401329
Mauritius,43025,1051,41278,95.93957001743173
Mayotte,42027,188,0,0.0
Mexico,7702809,334958,6899865,89.57595858861357
Micronesia,26547,65,0,0.0
Moldova,635145,12218,0,0.0
Monaco,17181,67,0,0.0
Mongolia,1011496,2284,1009212,99.77419584457081
Montenegro,296542,2846,291794,98.39887773064187
Montserrat,1403,8,1376,98.07555238774056
Morocco,1278992,16303,0,0.0
Mozambique,233731,2250,228805,97.8924490118983
Myanmar,641873,19495,620159,96.61708780397367
N. Korea,4772813,74,4772739,99.99844955165852
Namibia,172389,4106,167099,96.93135872938528
Nauru,5393,1,5347,99.14704246245132
Nepal,1003450,12031,991322,98.79136977427873
Netherlands,8635786,22992,8612599,99.73150098902404
New Caledonia,80064,314,0,0.0
New Zealand,2621111,5697,2613791,99.72072911067102
Nicaragua,18491,225,4225,22.848953544967824
Niger,9931,312,8890,89.51767193636088
Nigeria,267188,3155,259953,97.2921688099765
Niue,1059,0,1056,99.71671388101983
Norway,1509732,6638,1503094,99.56031931495126
Oman,399449,4628,0,0.0
Pakistan,1581936,30664,1538689,97.26619787399743
Palau,6290,10,6276,99.77742448330683
Palestine,621008,5404,615445,99.10419833560921
Panama,1059893,8727,1051102,99.17057665254889
Papua New Guinea,46864,670,46168,98.51485148514851
Paraguay,837602,20155,0,0.0
Peru,4572667,222161,4350506,95.1415443110115
Philippines,4140383,66864,4067381,98.23682978120624
Poland,6661991,120598,0,0.0
Portugal,5643062,28126,5614809,99.49933210019667
Qatar,514524,690,513687,99.83732537257737
Romania,3529735,68929,3460149,98.02857721613663
Russia,24124215,402756,23545818,97.60242146739283
Rwanda,133518,1468,132039,98.89228418640184
Réunion,494595,921,0,0.0
S. Korea,34571873,35934,34535939,99.89606001387313
Saint Helena,2166,0,2,0.09233610341643582
Saint Kitts and Nevis,6607,48,6559,99.27349780535796
Saint Lucia,30215,410,29805,98.64305808373325
Saint Martin,12324,63,0,0.0
Saint Pierre Miquelon,3452,2,2449,70.94438006952491
Saint Vincent and the Grenadines,9674,124,9493,98.1290055819723
Samoa,17006,31,1605,9.43784546630601
San Marino,26185,128,26011,99.33549742218828
Sao Tome and Principe,6778,80,6685,98.62791383889052
Saudi Arabia,841469,9646,0,0.0
Senegal,89053,1971,87024,97.72158153010005
Serbia,2615054,18057,2596608,99.29462259670355
Seychelles,51220,172,51048,99.66419367434595
Sierra Leone,7779,126,0,0.0
Singapore,3006155,2024,3004131,99.93267146903602
Sint Maarten,11051,92,10905,98.67885259252557
Slovakia,1877605,21224,1856381,98.8696238026635
Slovenia,1356546,7100,1349424,99.47499015882985
Solomon Islands,25954,199,0,0.0
Somalia,27334,1361,13182,48.225653032852854
South Africa,4076463,102595,3912506,95.97795932405127
South Sudan,18819,147,18115,96.25909984590042
Spain,13914811,121760,13762417,98.90480725897032
Sri Lanka,672754,16897,655852,97.48764035591019
St. Barth,5507,6,0,0.0
Sudan,63993,5046,58947,92.11476255215413
Suriname,82588,1408,0,0.0
Swaziland,75191,1427,73116,97.2403612134431
Sweden,2754129,27407,2726492,98.99652485413719
Switzerland,4453053,14452,4438309,99.66890131332369
Syrian Arab Republic,57743,3165,54578,94.51881613355731
Taiwan,10241523,19005,10222518,99.81443189650602
Tajikistan,17786,125,17264,97.06510738783312
Tanzania,43223,846,0,0.0
Thailand,4770149,34586,4692636,98.37504027651967
Timor-Leste,23460,138,23102,98.47399829497017
Togo,39572,290,39281,99.26463155766704
Tokelau,80,0,0,0.0
Tonga,16950,13,15638,92.25958702064896
Trinidad and Tobago,191496,4390,187078,97.69290220161257
Tunisia,1153361,29423,0,0.0
Turkey,17232066,102174,0,0.0
Turks and Caicos Islands,6752,40,6709,99.36315165876776
Tuvalu,2943,1,0,0.0
UAE,1067030,2349,0,0.0
UK,24910387,232112,24678275,99.06821198723247
USA,111820082,1219487,109814428,98.20635617133601
Uganda,172149,3632,100431,58.33957792377533
Ukraine,5557995,112418,5445577,97.97736413940639
Uruguay,1041111,7664,1030944,99.02344706760374
Uzbekistan,253662,1637,241486,95.19991169351341
Vanuatu,12019,14,11976,99.64223313087611
Venezuela,552695,5856,546537,98.88582310315816
Vietnam,11625195,43206,10640971,91.53369900461885
Wallis and Futuna,3550,8,438,12.338028169014084
Western Sahara,10,1,9,90.0
Yemen,11945,2159,9124,76.38342402678944
Zambia,349304,4069,341316,97.7131667544603
Zimbabwe,266359,5740,258888,97.19513889149607
